folds,YEAR,var,cimp
Resample08,2019,FUNG,2623.0155039643914
Resample08,2019,INOC,2481.3249002747416
Resample08,2019,SOM,732.840279191022
Resample08,2019,Clay,423.1706094335436
Resample08,2019,Silt,55.64507413782383
Resample08,2019,Sand,-174.44126023136516
Resample08,2019,Pp_pre,371.29553249700984
Resample08,2019,Pp_1,433.41371640076363
Resample08,2019,Pp_2,142.69856583522983
Resample08,2019,Pp_3,503.3529875798628
Resample08,2019,Pp_4,833.9792852887208
Resample08,2019,SDI_pre,65.72859696433851
Resample08,2019,SDI_1,215.4786150184364
Resample08,2019,SDI_2,224.9376804554279
Resample08,2019,SDI_3,-23.44111347821425
Resample08,2019,SDI_4,237.26403247206443
Resample08,2019,AWDR_pre,237.02689329625602
Resample08,2019,AWDR_1,347.3734338492254
Resample08,2019,AWDR_2,26.44669139891339
Resample08,2019,AWDR_3,138.4278487293332
Resample08,2019,AWDR_4,566.3335581759247
Resample08,2019,Tm_pre,143.98961340563545
Resample08,2019,Tm_1,20.70629290347395
Resample08,2019,Tm_2,44.16857761815831
Resample08,2019,Tm_3,265.6204467374762
Resample08,2019,Tm_4,329.25262196468685
Resample08,2019,Rad_1,470.21130348208857
Resample08,2019,Rad_2,-35.93229254439561
Resample08,2019,Rad_3,346.987909939113
Resample08,2019,Rad_4,259.9532606019356
Resample08,2019,vpd_pre,49.86328601188637
Resample08,2019,vpd_1,100.70537593296147
Resample08,2019,vpd_2,114.71765529335535
Resample08,2019,vpd_3,-60.81141698554478
Resample08,2019,vpd_4,119.40303609552706
Resample08,2019,Q_1,25.494982101692003
Resample08,2019,Q_2,163.44134330063068
Resample08,2019,Q_3,139.75339249909652
Resample08,2019,Q_4,-98.25968530981598
Resample08,2019,YEAR,171.90570488222264
Resample09,2014,TILL,1071.9768788917754
Resample09,2014,FUNG,2587.7172270845153
Resample09,2014,INOC,1413.5245473082239
Resample09,2014,SOM,366.9979756333615
Resample09,2014,Clay,476.7784121077025
Resample09,2014,Silt,-1.5767797499199514
Resample09,2014,Sand,85.78774166862742
Resample09,2014,Pp_pre,187.88231274836696
Resample09,2014,Pp_1,136.20693329469796
Resample09,2014,Pp_2,140.42708888686786
Resample09,2014,Pp_3,381.0060663645211
Resample09,2014,Pp_4,700.6618547094596
Resample09,2014,SDI_pre,215.71679543562
Resample09,2014,SDI_1,76.69378057703187
Resample09,2014,SDI_2,153.94401538101957
Resample09,2014,SDI_3,294.4601344757565
Resample09,2014,SDI_4,-9.708817494144895
Resample09,2014,AWDR_pre,63.35475625558611
Resample09,2014,AWDR_1,498.80923447855486
Resample09,2014,AWDR_2,195.57425790786073
Resample09,2014,AWDR_3,119.4714521838937
Resample09,2014,AWDR_4,477.981721638282
Resample09,2014,Tm_pre,91.2864202822966
Resample09,2014,Tm_1,212.4089585018766
Resample09,2014,Tm_2,89.65337602452666
Resample09,2014,Tm_3,242.73377489636624
Resample09,2014,Tm_4,10.022007909990789
Resample09,2014,Rad_1,280.03027449334564
Resample09,2014,Rad_2,176.79379683228356
Resample09,2014,Rad_3,543.3968696446257
Resample09,2014,Rad_4,141.54141611233848
Resample09,2014,vpd_pre,270.5394907092169
Resample09,2014,vpd_1,149.51463856525893
Resample09,2014,vpd_2,53.40158852303313
Resample09,2014,vpd_3,328.7193027389678
Resample09,2014,vpd_4,278.4436787475637
Resample09,2014,Q_1,28.247834925573844
Resample09,2014,Q_2,107.20724670921365
Resample09,2014,Q_3,123.87950130885379
Resample09,2014,Q_4,113.04632488584554
Resample09,2014,YEAR,-196.27322236523557
Resample10,2018,TILL,1001.2509069628109
Resample10,2018,FUNG,1690.327125318201
Resample10,2018,INOC,2748.054845573694
Resample10,2018,SOM,2081.7693835519763
Resample10,2018,Clay,330.6654207172111
Resample10,2018,Silt,38.44207957719773
Resample10,2018,Sand,-76.81080871340004
Resample10,2018,Pp_pre,464.9615259798948
Resample10,2018,Pp_1,171.0731760645713
Resample10,2018,Pp_2,-15.017398141611192
Resample10,2018,Pp_3,485.19612873783916
Resample10,2018,Pp_4,607.5667996055627
Resample10,2018,SDI_pre,173.6576103155111
Resample10,2018,SDI_1,72.0828234406549
Resample10,2018,SDI_2,59.5106132225215
Resample10,2018,SDI_3,25.86185187465948
Resample10,2018,SDI_4,174.7133845551958
Resample10,2018,AWDR_pre,158.08634257665136
Resample10,2018,AWDR_1,309.08437741026864
Resample10,2018,AWDR_2,78.88163724448329
Resample10,2018,AWDR_3,70.77319977789855
Resample10,2018,AWDR_4,694.284326102696
Resample10,2018,Tm_pre,305.5041357879556
Resample10,2018,Tm_1,168.54805843438254
Resample10,2018,Tm_2,6.970469013085239
Resample10,2018,Tm_3,65.2360087265275
Resample10,2018,Tm_4,18.667752348661306
Resample10,2018,Rad_1,220.87162096735062
Resample10,2018,Rad_2,220.56727799377782
Resample10,2018,Rad_3,437.1402870494907
Resample10,2018,Rad_4,114.84185099424823
Resample10,2018,vpd_pre,295.0722086418638
Resample10,2018,vpd_1,-104.36209925554111
Resample10,2018,vpd_2,-48.944414359003716
Resample10,2018,vpd_3,-65.7664148892634
Resample10,2018,vpd_4,61.58958706014993
Resample10,2018,Q_1,76.04982730550138
Resample10,2018,Q_2,-53.531054266804134
Resample10,2018,Q_3,-26.861864249298524
Resample10,2018,Q_4,253.7210762834674
Resample10,2018,YEAR,-19.197148463534248
